"Gene","F_Statistics","P_Value","R_squared","Slope_value","Slope_direction"
"UBE4B",3.07463320293787,0.0213145248771739,0.144182231585314,-0.0386034860035783,"negative"
"KIF1B",1.35322865219563,0.258603194083427,0.0690309069084936,-0.0160114659424301,"negative"
"PGD",3.90532113748407,0.00627133860886228,0.176270120990336,0.123553146352727,"positive"
"CENPS-CORT",0.403042652817327,0.805862588376224,0.0216073409748223,0.037674448972511,"positive"
"CENPS",0.662361494740982,0.620141269216251,0.0350226752447158,0.0453967529095699,"positive"
"CORT",1.98428474692228,0.105851138986033,0.0980654750953874,-0.0378283358466133,"negative"
"DFFA",0.957874757849319,0.435894766924456,0.0498688569102567,0.0107866763123711,"positive"
"PEX14",4.81678690848497,0.00166981502470169,0.208819153165764,-0.0114052376142167,"negative"
"CASZ1",0.490788819622731,0.742468375796109,0.0261882690396066,0.0218907582015137,"positive"
"C1orf127",1.18400767835545,0.325034086372949,0.0609245245731857,0.085625871718015,"positive"
"TARDBP",1.42379040563272,0.234672256809844,0.0723699082015777,0.0559834316463337,"positive"
"MASP2",0.974783718390856,0.426682868647428,0.0507045349726539,0.0472178883201678,"positive"
"SRM",3.64922769468974,0.00913304186565174,0.166637278061392,0.0985421923143098,"positive"
"EXOSC10",3.71803969894576,0.00825444207304107,0.169247677530562,0.00320658987616087,"positive"
"EXOSC10-AS1",1.42556483644775,0.234097146673011,0.0724535660499557,0.034500184152495,"positive"
"MTOR",1.47784405107185,0.21771803209358,0.074911584218021,0.109996941448927,"positive"
"MTOR-AS1",1.46269543616027,0.222353026671521,0.0742006815301955,0.0410843676344784,"positive"
"ANGPTL7",1.55961626150963,0.194195564452774,0.0787302611479653,0.0360889159272405,"positive"
"UBIAD1",3.30147617924792,0.0152462828788685,0.15319025721435,0.0316768728422946,"positive"
"LOC105376737",0.707653109288372,0.589284671895261,0.0373280967432437,0.0476564298361729,"positive"
"DISP3",0.968710763637068,0.429974013583333,0.0504045654024788,0.0502197805511417,"positive"
"LINC01647",2.03088913401656,0.0989333972468584,0.100138071886119,0.0522709122852944,"positive"
"FBXO2",5.8557584347031,0.000382693706424014,0.242919485423576,0.209496157176,"positive"
"FBXO44",2.83111019338345,0.0305469401215864,0.134296067304464,0.142472811369918,"positive"
"FBXO6",1.36570771051943,0.25421749518628,0.0696231678547614,0.129198507695961,"positive"
"MAD2L2",2.67068980715453,0.0387123547423808,0.127657827336133,0.0359252265206334,"positive"
"DRAXIN",0.886658016141939,0.476343902945325,0.04633296030028,-0.0654340397558868,"negative"
"AGTRAP",0.891542090699556,0.473485171489604,0.046576293930505,0.0563761505084999,"positive"
"C1orf167",3.81435709773061,0.00716596872051422,0.172874155400745,0.0625720404590245,"positive"
"C1orf167-AS1",0.140665084032225,0.966539079494143,0.0076487219678835,-0.00409395665531898,"negative"
"MTHFR",3.50763799241916,0.0112493302778275,0.161214098407249,0.00161588420603249,"positive"
"CLCN6",1.90314368084364,0.119023953436004,0.0944340848744435,-0.0840733822824715,"negative"
"NPPA-AS1",2.51155620199712,0.048948965243423,0.120971481018149,-0.0483378311592348,"negative"
"NPPA",4.67850302224333,0.00203761338062173,0.204047469549348,0.0369783182140113,"positive"
"RNU5E-1",3.67895213384719,0.00874248747776008,0.167766891522771,0.114649076590907,"positive"
"KIAA2013",0.328465173522881,0.857995698773339,0.0176798874640621,-0.0548832372356746,"negative"
"PLOD1",0.522687105932231,0.719329430336095,0.027842956257821,-0.0153665209822053,"negative"
"MFN2",0.862072482853999,0.490921496551728,0.0451061748341207,0.109470863095476,"positive"
"MIIP",0.790178935949088,0.535304517108756,0.0415006045167558,0.0318598253304522,"positive"
"MIR6729",1.06485704764286,0.380148440983082,0.0551315003272477,-0.0333846410606963,"negative"
"TNFRSF8",0.583723052094659,0.675400164820112,0.030993503009472,0.0286344281020006,"positive"
"TNFRSF1B",1.87996355445853,0.12306776466937,0.0933913044289709,0.147859889419141,"positive"
"MIR4632",0.793139169974701,0.533426719785589,0.0416496021425523,0.0880315136677224,"positive"
"VPS13D",2.86500739639494,0.0290546960405112,0.13568583437409,0.108357669010489,"positive"
"SNORA59A",0.611695199511128,0.655532656930021,0.0324305526645867,0.0345967498977459,"positive"
"LINC02766",1.51099433847361,0.207882535755291,0.0764634771202674,-0.0329932328993561,"negative"
"DHRS3",0.659421702441326,0.622171069107058,0.0348726530519012,0.0196975618062453,"positive"
"MIR6730",1.46665305499066,0.221133491313746,0.0743865123000386,0.00921881004404543,"positive"
"CFAP107",0.709347776453882,0.588146022659966,0.0374141444535787,-0.0885795201643311,"negative"
"PRAMEF11",0.687460979489518,0.602942129933702,0.0363016446731736,0.0867001832338605,"positive"
"HNRNPCL1",0.295769414448874,0.879817826038806,0.0159480800089341,-0.00537774273917383,"negative"
"PRAMEF2",2.34366491433535,0.0626544213856719,0.113805139788592,0.124519313380397,"positive"
"PRAMEF4",1.98791944942335,0.105295227650935,0.0982274612956816,0.222704829035391,"positive"
"PRAMEF10",10.2897155115483,1.15674458602012e-06,0.360540227087572,0.680537201620732,"positive"
"PRAMEF7",4.44387451024549,0.00286052817867077,0.195818237570638,0.0489161502380278,"positive"
"PRAMEF6",2.24690239056045,0.0722016783730959,0.109621558796866,0.0538401996390992,"positive"
"PRAMEF27",1.11200612950851,0.357476350653462,0.0574323818549857,-0.0176021196416486,"negative"
"PRAMEF25",0.686395915172747,0.603667048001473,0.0362474421345814,0.056658803724931,"positive"
"PRAMEF34P",2.88074581494057,0.0283867927100664,0.136329585343066,0.0927368624325705,"positive"
"HNRNPCL2",0.169080435239718,0.953486266848469,0.00917963498960734,-0.0113374812659923,"negative"
"PRAMEF36P",2.14779584899332,0.0834538680303814,0.105295487066036,0.0713624234671059,"positive"
"PRAMEF26",0.397532048092437,0.809794410803033,0.0213182123547069,0.0372041844273313,"positive"
"HNRNPCL4",2.00730656351834,0.102377376499831,0.0990904964203544,-0.0720190432366725,"negative"
"PRAMEF9",0.25520612171285,0.905593219626748,0.0137910445327819,0.0475708925039091,"positive"
"PRAMEF5",0.793081187458905,0.533463459945001,0.0416466841501049,0.0449036194927464,"positive"
"PRAMEF8",3.56214923715596,0.0103815390646346,0.163310327580558,0.0659981302067711,"positive"
"PRAMEF33",9.8446048155276,1.99949336652243e-06,0.350409086732788,0.617488920128349,"positive"
"PRAMEF15",1.23040701842256,0.305484311202871,0.0631612582457319,0.100483594046414,"positive"
"PRAMEF14",3.5058629947799,0.0112787847612926,0.161145664303048,0.106222111323384,"positive"
"PRAMEF17",9.01235427786324,5.6777848084717e-06,0.330578723539705,0.0525166242968412,"positive"
"LRRC38",0.726738054563719,0.576531514954854,0.038296257896069,-0.0319113899058766,"negative"
"LOC102724856",0.461683403082529,0.763593780621161,0.0246735364818364,0.0143356825116883,"positive"
"PDPN",0.374481812293613,0.826126557018246,0.0201069654483716,0.0701148025942655,"positive"
"PRDM2",0.681918557134302,0.606719337838753,0.0360195167265458,-0.0724368289758813,"negative"
"KAZN",2.45835738817304,0.0529362160197666,0.118713297346175,-0.187770161610439,"negative"
"LOC107985467",0.956756762046807,0.436509161249154,0.0498135512361665,-0.105219359673508,"negative"
"KAZN-AS1",3.55429335948186,0.0105023119719943,0.16300887632005,-0.204101035607787,"negative"
"LOC105376759",0.410144639940475,0.8007820648462,0.021979713869023,-0.0583077569006565,"negative"
"TMEM51-AS1",1.78938082166944,0.140167104685841,0.0892932190666544,-0.136804864617788,"negative"
"TMEM51",2.10864861209179,0.0883548931471337,0.103575077711169,-0.00107333575349337,"negative"
"TMEM51-AS2",0.341911722351936,0.848804664787739,0.0183903477736975,-0.0105302903286575,"negative"
"FHAD1",3.02110015526937,0.0230692500641833,0.142028392194889,0.01898500586428,"positive"
